N is 128
Eps is 0.010000
Proc is 1
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Rank 0, Size 1, Threads 2
Resulting eps: 0.009893
Iterations: 85
Time in seconds=29.9296s
 S = 22725.346713
